seed,variant,n,success_count,success_rate,num_leaf_calls,num_retries,premature_stop_count
1,H0,40,7,0.175,40,0,14
1,H3,40,15,0.375,121,81,17
1,H4,40,38,0.95,92,25,2
1,generic-retry,40,13,0.325,116,76,15
2,H0,40,8,0.2,40,0,17
2,H3,40,13,0.325,122,82,22
2,H4,40,38,0.95,90,24,2
2,generic-retry,40,13,0.325,120,80,17
3,H0,40,8,0.2,40,0,14
3,H3,40,22,0.55,101,61,14
3,H4,40,38,0.95,95,26,2
3,generic-retry,40,13,0.325,116,76,22
