variant,n,success_rate,premature_stop_rate
generic+diagnostics,24,0.7916666666666666,0.16666666666666666
generic-retry,24,0.7083333333333334,0.2916666666666667
typed-fields,24,0.75,0.125
typed-label-only,24,0.7916666666666666,0.16666666666666666
typed-preserve,24,0.625,0.3333333333333333
