seed,variant,n,success_count,success_rate,num_leaf_calls,num_retries,premature_stop_count
1,H0,40,6,0.15,40,0,14
1,H3,40,13,0.325,115,75,26
1,H4,40,8,0.2,134,32,2
1,generic-retry,40,0,0.0,160,120,0
2,H0,40,7,0.175,40,0,14
2,H3,40,13,0.325,115,75,26
2,H4,40,35,0.875,95,26,2
2,generic-retry,40,0,0.0,160,120,0
3,H0,40,7,0.175,40,0,14
3,H3,40,7,0.175,139,99,25
3,H4,40,38,0.95,90,25,2
3,generic-retry,40,0,0.0,160,120,0
