variant,n,success_rate,premature_stop_rate
H0,120,0.15833333333333333,0.48333333333333334
H3,120,0.44166666666666665,0.43333333333333335
H4,120,0.9333333333333333,0.058333333333333334
generic-retry,120,0.325,0.43333333333333335
