seed,variant,n,success_count,success_rate,num_leaf_calls,num_retries,premature_stop_count
1,H0,40,6,0.15,40,0,18
1,H3,40,18,0.45,120,80,20
1,H4,40,37,0.925,91,22,2
1,generic-retry,40,11,0.275,121,81,17
2,H0,40,7,0.175,40,0,22
2,H3,40,19,0.475,111,71,18
2,H4,40,37,0.925,100,27,3
2,generic-retry,40,11,0.275,126,86,17
3,H0,40,6,0.15,40,0,18
3,H3,40,16,0.4,114,74,14
3,H4,40,38,0.95,96,27,2
3,generic-retry,40,17,0.425,113,73,18
