model,variant,leaf_prompts,retry_prompts,avg_all_prompt_words,avg_retry_prompt_words,total_prompt_words
Qwen2.5-Coder-14B-AWQ/L4,generic+diagnostics,164,114,653.719512195122,711.719298245614,107210
Qwen2.5-Coder-14B-AWQ/L4,location-observed,155,105,616.3870967741935,661.5809523809523,95540
Qwen2.5-Coder-14B-AWQ/L4,same-info-natural,147,97,649.5646258503401,715.5876288659794,95486
Qwen2.5-Coder-14B-AWQ/L4,typed-fields,130,80,632.1,701.2375,82173
Llama-3.1-8B-AWQ/T4,generic+diagnostics,179,129,663.8715083798883,719.062015503876,118833
Llama-3.1-8B-AWQ/T4,location-observed,174,124,626.2011494252873,668.4274193548387,108959
Llama-3.1-8B-AWQ/T4,same-info-natural,161,111,659.9068322981367,722.2612612612612,106245
Llama-3.1-8B-AWQ/T4,typed-fields,149,99,644.3221476510067,706.3636363636364,96004
