variant,metric,value
H0,n,1
H0,success_rate,0.0
H0,accepted_by_agent_rate,1.0
H0,accepted_by_gate_rate,0.0
H0,context_bloat_proxy_rate,1.0
H0,self_biased_acceptance_rate,1.0
H0,constraint_violation_rate,1.0
H0,premature_stop_rate,1.0
H0,wrong_claim_acceptance_rate,0.0
H0,tokens_per_success,0.0
H0,retries_per_success,0.0
H3,n,1
H3,success_rate,1.0
H3,accepted_by_agent_rate,0.0
H3,accepted_by_gate_rate,1.0
H3,context_bloat_proxy_rate,0.0
H3,self_biased_acceptance_rate,0.0
H3,constraint_violation_rate,0.0
H3,premature_stop_rate,0.0
H3,wrong_claim_acceptance_rate,0.0
H3,tokens_per_success,12.0
H3,retries_per_success,0.0
H4,n,1
H4,success_rate,1.0
H4,accepted_by_agent_rate,0.0
H4,accepted_by_gate_rate,1.0
H4,context_bloat_proxy_rate,0.0
H4,self_biased_acceptance_rate,0.0
H4,constraint_violation_rate,0.0
H4,premature_stop_rate,0.0
H4,wrong_claim_acceptance_rate,0.0
H4,tokens_per_success,12.0
H4,retries_per_success,0.0
